url,title,visited
https://developer.huawei.com/consumer,（未访问）,False
https://developer.huawei.com/consumer/cn,华为开发者联盟-HarmonyOS开发者官网，共建鸿蒙生态,True
https://developer.huawei.com/consumer/cn/?ha_source=202406yk&ha_sourceId=89000503,（未访问）,False
https://developer.huawei.com/consumer/cn/?ha_source=202511yk&ha_sourceId=89000503,（未访问）,False
https://developer.huawei.com/consumer/cn/CameraKit,（未访问）,False
https://developer.huawei.com/consumer/cn/HiCar,（未访问）,False
https://developer.huawei.com/consumer/cn/HiResearch,（未访问）,False
https://developer.huawei.com/consumer/cn/activity,活动 - 耀星计划 - 创新大赛 | 华为开发者联盟,True
https://developer.huawei.com/consumer/cn/activity/101673510188913949?ha_source=202502yk&ha_sourceId=89000503,（未访问）,False
https://developer.huawei.com/consumer/cn/activity/101711958733224594?ha_source=202405yk&ha_sourceId=89000503,（未访问）,False
https://developer.huawei.com/consumer/cn/activity/101747031198241690?ha_source=202505yk&ha_sourceId=89000503,（未访问）,False
https://developer.huawei.com/consumer/cn/activity/101753862971910646/signup,（未访问）,False
https://developer.huawei.com/consumer/cn/activity/111763457416296015,HarmonyOS开放能力创新论坛 郑州站 | 华为开发者联盟,True
https://developer.huawei.com/consumer/cn/activity/111763537958013024,HarmonyOS开放能力创新论坛 杭州站 | 华为开发者联盟,True
https://developer.huawei.com/consumer/cn/activity/111764128020927105,HarmonyOS开放能力创新论坛 成都站 | 华为开发者联盟,True
https://developer.huawei.com/consumer/cn/activity/121763629470904263,HarmonyOS开放能力创新沙龙 苏州站 | 华为开发者联盟,True
https://developer.huawei.com/consumer/cn/activity/121764723306336284,HDD·鸿蒙赋能交流会（12月） | 华为开发者联盟,True
https://developer.huawei.com/consumer/cn/activity/201673507366361611?ha_source=202502yk&ha_sourceId=89000503,（未访问）,False
https://developer.huawei.com/consumer/cn/activity/201711782420340813?ha_source=202404yk&ha_sourceId=89000503,（未访问）,False
https://developer.huawei.com/consumer/cn/activity/201741855505514452?ha_source=202503yk&ha_sourceId=89000503,（未访问）,False
https://developer.huawei.com/consumer/cn/activity/201746520343790610,HDD·鸿蒙赋能交流会（5月） | 华为开发者联盟,True
https://developer.huawei.com/consumer/cn/activity/201752560359905942/signup,（未访问）,False
https://developer.huawei.com/consumer/cn/activity/201752738709909785,HDD·鸿蒙赋能交流会（7月） | 华为开发者联盟,True
https://developer.huawei.com/consumer/cn/activity/201753759057944811?ha_source=202508yk&ha_sourceId=89000503,（未访问）,False
https://developer.huawei.com/consumer/cn/activity/201761027106348140,HarmonyOS开放能力创新论坛 济南站 | 华为开发者联盟,True
https://developer.huawei.com/consumer/cn/activity/201761804995353171/signup,（未访问）,False
https://developer.huawei.com/consumer/cn/activity/201768543645826006,HarmonyOS 赋能交流会（一月） | 华为开发者联盟,True
https://developer.huawei.com/consumer/cn/activity/301577091038698091/signup,‎,True
